,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.4107388888888889,0.0
0,-1,-1,100.0,[0],[0],0.4717333333333333,1.0
0,-1,-1,100.0,[0],[0],0.362725,2.0
0,-1,-1,100.0,[0],[0],0.3397138888888888,3.0
0,-1,-1,100.0,[0],[0],0.4501861111111111,4.0
0,-1,-1,100.0,[0],[0],0.5055166666666666,5.0
0,-1,-1,100.0,[0],[0],0.3327416666666666,6.0
0,-1,-1,100.0,[0],[0],0.4914083333333333,7.0
0,-1,-1,100.0,[0],[0],0.4806,8.0
0,-1,-1,0.0,[1],[0],0.417825,9.0
0,-1,-1,100.0,[0],[0],0.410375,10.0
0,-1,-1,100.0,[0],[0],0.3950805555555555,11.0
0,-1,-1,0.0,[1],[0],0.5020638888888889,12.0
0,-1,-1,0.0,[1],[0],0.3742944444444444,13.0
0,-1,-1,100.0,[0],[0],0.4132694444444444,14.0
0,-1,-1,0.0,[1],[0],0.466525,15.0
0,-1,-1,0.0,[1],[0],0.4745916666666667,16.0
0,-1,-1,0.0,[1],[0],0.5094194444444444,17.0
0,-1,-1,100.0,[1],[1],0.2823333333333333,18.0
0,-1,-1,100.0,[1],[1],0.4989916666666666,19.0
0,-1,-1,0.0,[1],[0],0.5270444444444444,20.0
0,-1,-1,100.0,[0],[0],0.3788194444444444,21.0
0,-1,-1,100.0,[0],[0],0.4913944444444444,22.0
0,-1,-1,100.0,[1],[1],0.5556555555555556,23.0
0,-1,-1,100.0,[0],[0],0.4956916666666666,24.0
0,-1,-1,0.0,[0],[1],0.4650222222222222,25.0
0,-1,-1,0.0,[0],[1],0.5279944444444444,26.0
0,-1,-1,0.0,[1],[0],0.4968361111111111,27.0
0,-1,-1,0.0,[1],[0],0.2298833333333333,28.0
0,-1,-1,0.0,[1],[0],0.311375,29.0
0,-1,-1,100.0,[1],[1],0.2915083333333333,30.0
0,-1,-1,0.0,[0],[1],0.5255083333333334,31.0
0,-1,-1,100.0,[0],[0],0.5014083333333333,32.0
0,-1,-1,100.0,[0],[0],0.4469194444444444,33.0
0,-1,-1,0.0,[1],[0],0.4057861111111111,34.0
0,-1,-1,0.0,[0],[1],0.5187944444444444,35.0
0,-1,-1,0.0,[0],[1],0.5412083333333333,36.0
0,-1,-1,0.0,[1],[0],0.4981833333333333,37.0
0,-1,-1,100.0,[0],[0],0.2221527777777777,38.0
0,-1,-1,0.0,[0],[1],0.2459083333333333,39.0
0,-1,-1,100.0,[0],[0],0.5160361111111111,40.0
0,-1,-1,100.0,[0],[0],0.4965777777777778,41.0
0,-1,-1,0.0,[0],[1],0.3792194444444444,42.0
0,-1,-1,0.0,[1],[0],0.4762916666666666,43.0
0,-1,-1,100.0,[0],[0],0.5251111111111111,44.0
0,-1,-1,0.0,[0],[1],0.4236361111111111,45.0
