,train_acc,val_acc,test_acc,test_preds,test_labels,sparsity,fold
0,-1,-1,100.0,[0],[0],0.5453192592592593,0.0
0,-1,-1,100.0,[0],[0],0.6603403703703704,1.0
0,-1,-1,100.0,[0],[0],0.5107648148148148,2.0
0,-1,-1,100.0,[0],[0],0.4601625925925925,3.0
0,-1,-1,100.0,[0],[0],0.6069596296296297,4.0
0,-1,-1,0.0,[1],[0],0.6658185185185185,5.0
0,-1,-1,100.0,[0],[0],0.4422885185185185,6.0
0,-1,-1,100.0,[0],[0],0.6540951851851852,7.0
0,-1,-1,0.0,[1],[0],0.6362048148148148,8.0
0,-1,-1,0.0,[1],[0],0.5599896296296296,9.0
0,-1,-1,100.0,[0],[0],0.5776288888888889,10.0
0,-1,-1,100.0,[0],[0],0.5317081481481482,11.0
0,-1,-1,0.0,[1],[0],0.663645925925926,12.0
0,-1,-1,0.0,[1],[0],0.4982385185185185,13.0
0,-1,-1,100.0,[0],[0],0.5653037037037038,14.0
0,-1,-1,100.0,[0],[0],0.6148503703703704,15.0
0,-1,-1,0.0,[1],[0],0.6677655555555555,16.0
0,-1,-1,100.0,[0],[0],0.6582518518518519,17.0
0,-1,-1,100.0,[1],[1],0.3743340740740741,18.0
0,-1,-1,0.0,[0],[1],0.6641514814814815,19.0
0,-1,-1,100.0,[0],[0],0.6921577777777778,20.0
0,-1,-1,100.0,[0],[0],0.5022337037037037,21.0
0,-1,-1,100.0,[0],[0],0.6617733333333333,22.0
0,-1,-1,100.0,[1],[1],0.7268240740740741,23.0
0,-1,-1,0.0,[1],[0],0.6749533333333333,24.0
0,-1,-1,0.0,[0],[1],0.6053644444444445,25.0
0,-1,-1,0.0,[0],[1],0.6933525925925926,26.0
0,-1,-1,100.0,[0],[0],0.6764211111111111,27.0
0,-1,-1,0.0,[1],[0],0.2975359259259259,28.0
0,-1,-1,0.0,[1],[0],0.4023033333333333,29.0
0,-1,-1,100.0,[1],[1],0.3784388888888889,30.0
0,-1,-1,0.0,[0],[1],0.6981411111111111,31.0
0,-1,-1,0.0,[1],[0],0.6669562962962963,32.0
0,-1,-1,100.0,[0],[0],0.5959674074074074,33.0
0,-1,-1,0.0,[1],[0],0.544642962962963,34.0
0,-1,-1,0.0,[0],[1],0.6868685185185185,35.0
0,-1,-1,100.0,[1],[1],0.7179418518518519,36.0
0,-1,-1,0.0,[1],[0],0.64533,37.0
0,-1,-1,100.0,[0],[0],0.2958792592592593,38.0
0,-1,-1,0.0,[0],[1],0.3337625925925926,39.0
0,-1,-1,100.0,[0],[0],0.6992655555555556,40.0
0,-1,-1,100.0,[0],[0],0.6826748148148148,41.0
0,-1,-1,100.0,[1],[1],0.5525959259259259,42.0
0,-1,-1,100.0,[0],[0],0.6286088888888889,43.0
0,-1,-1,0.0,[1],[0],0.6693392592592593,44.0
0,-1,-1,0.0,[0],[1],0.5526559259259259,45.0
